name,image,depth
houston_1_1_H_-16_000000,[0.        0.        0.        ... 0.7137255 0.6509804 0.5882353],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000001,[0.         0.         0.         ... 0.80784315 0.7254902  0.6509804 ],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000002,[0.        0.        0.        ... 0.8117647 0.7294118 0.654902 ],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000003,[0.         0.         0.         ... 0.8117647  0.72156864 0.654902  ],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000004,[0.         0.         0.         ... 0.7647059  0.6901961  0.63529414],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000005,[0.         0.         0.         ... 0.44313726 0.40392157 0.41568628],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000006,[0.         0.         0.         ... 0.22352941 0.21960784 0.2901961 ],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000007,[0.         0.         0.         ... 0.27058825 0.25882354 0.32941177],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000008,[0.         0.         0.         ... 0.33333334 0.30980393 0.30980393],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000009,[0.         0.         0.         ... 0.30980393 0.30588236 0.3647059 ],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000010,[0.         0.         0.         ... 0.25882354 0.2509804  0.32941177],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000011,[0.         0.         0.         ... 0.25490198 0.24705882 0.32156864],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000012,[0.         0.         0.         ... 0.30980393 0.28627452 0.34509805],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000013,[0.         0.         0.         ... 0.76862746 0.6862745  0.61960787],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000014,[0.        0.        0.        ... 0.7490196 0.6666667 0.5882353],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000015,[0.         0.         0.         ... 0.7372549  0.67058825 0.60784316],[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000016,[0.9372549  0.9372549  0.8980392  ... 0.72156864 0.64705884 0.5803922 ],[0.01568628 0.01568628 0.01568628 ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000017,[0.44705883 0.3647059  0.36078432 ... 0.8039216  0.7294118  0.6745098 ],[0.01568628 0.01568628 0.01568628 ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000018,[0.43529412 0.3372549  0.34117648 ... 0.8392157  0.7607843  0.69411767],[0.01176471 0.01176471 0.01176471 ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000019,[0.9647059 0.9254902 0.9372549 ... 0.8392157 0.7647059 0.6901961],[0.01176471 0.01176471 0.01176471 ... 0.00784314 0.00784314 0.00784314]
houston_1_1_H_-16_000020,[0.94509804 0.8784314  0.76862746 ... 0.84705883 0.75686276 0.6862745 ],[0.01176471 0.01176471 0.01176471 ... 0.00784314 0.00784314 0.00784314]
